name,ingredients
Закуска с курицей в тортильях,"{'Лепешка': '1 упак.', 'Филе куриное': '400 г', 'Лук красный': '1 шт', 'Сыр сливочный': '200 г', 'Листья салата': '1 упак.', 'Яйцо куриное': '2 шт', 'Мука пшеничная': '2 ст. л.', 'Молоко': '2 ст. л.', 'Соевый соус': '2 ст. л.', 'Перец чили': '1 ч. л.', 'Приправа': '2 ч. л.', 'Масло растительное': '1 стак.', 'Лук зеленый': '1 пуч.', 'Перец болгарский': '1 шт', 'Сыр твердый': '100 г', 'Хлопья кукурузные': '1 стак.', 'Соус': 'по вкусу'}"
Китайский новогодний салат,"{'Горбуша': '500 г', 'Шпинат': '150 г', 'Лук зеленый': '0,5 пуч.', 'Помело': '600 г', 'Кунжут': '2 ч. л.', 'Соевый соус': '20 мл', 'Мед': '10 г', 'Горчица': '1 ч. л.', 'Уксус': '10 мл', 'Масло оливковое': '20 мл', 'Сахар': '5 г', 'Имбирь': '0,5 ч. л.', 'Перец черный': '0,5 ч. л.'}"
Молодой картофель с овощами,"{'Картофель': '1 кг', 'Баклажан': '1 шт', 'Кабачок': '1 шт', 'Перец болгарский': '3 шт', 'Лук зеленый': '6 шт', 'Чеснок': '6 шт', 'Соевый соус': '3 ст. л.', 'Соль': 'по вкусу', 'Смесь перцев': 'по вкусу', 'Масло оливковое': '5 ст. л.'}"
"Быстрая творожная запеканка с кокосовой стружкой ""Рафаэлло""","{'Творог': '400 г', 'Яйцо куриное': '3 шт', 'Молоко сгущенное': '300 мл', 'Стружка кокосовая': '40 г', 'Ванильный сахар': '1 ст. л.', 'Разрыхлитель теста': '2 ч. л.', 'Масло оливковое': '1 ст. л.'}"
Паста с грибами и ветчиной,"{'Макаронные изделия': '300 г', 'Сливки': '200 мл', 'Шампиньоны': '200 г', 'Ветчина': '150 г', 'Пармезан': '100 г', 'Орегано': '2 щепот.', 'Перец черный': 'по вкусу', 'Петрушка': '3 щепот.', 'Масло оливковое': '1 ст. л.'}"
"Овощной салат ""Молодо-зелено""","{'Капуста белокочанная': '300 г', 'Огурец': '100 г', 'Перец болгарский': '1 шт', 'Лук зеленый': 'по вкусу', 'Чеснок': 'по вкусу', 'Орехи кедровые': '2 ст. л.', 'Масло растительное': '2 ст. л.', 'Горчица': '1 ч. л.', 'Соль': 'по вкусу', 'Сахар': 'по вкусу'}"
Куриные бедра в соевом соусе,"{'Бедро куриное': '4 шт', 'Соевый соус': '3 ст. л.', 'Уксус': '2 ст. л.', 'Имбирь': '1 ст. л.', 'Лук зеленый': '2 ст. л.', 'Вода': '100 мл'}"
Творожный кекс с киви,"{'Масло сливочное': '80 г', 'Яйцо куриное': '3 шт', 'Ванилин': '1 пакет.', 'Сахар': '150 г', 'Творог': '200 г', 'Киви': '4 шт', 'Разрыхлитель теста': '1.5 ч. л.', 'Мука пшеничная': '250 г'}"
"Хлеб из овсяной муки ""Селяночка""","{'Мука овсяная': '1 стак.', 'Мука пшеничная': '3,5 стак.', 'Масло оливковое': '50 мл', 'Молоко': '400 мл', 'Соль': '0,5 ч. л.', 'Сахар': '1 ст. л.', 'Дрожжи': '11 г', 'Хлопья овсяные': '3 ст. л.', 'Кунжут': '3 ст. л.'}"
"Коржики ""Школьные""","{'Мука пшеничная': '4 стак.', 'Сахар': '1 стак.', 'Масло сливочное': '100 г', 'Яйцо куриное': '2 шт', 'Молоко': '1 стак.', 'Сода': '1 ч. л.', 'Ванильный сахар': '1 пакет.'}"
"Закуска ""Свинина в пеленке""","{'Свинина': '800 г', 'Шампиньоны': '300 г', 'Лук репчатый': '1 шт', 'Помидор': '2 шт', 'Майонез': '1 ст. л.', 'Сыр твердый': '100 г', 'Горчица': '1 ст. л.', 'Соевый соус': '2 ст. л.', 'Табаско': '0.5 ч. л.', 'Лаваш': '1 шт', 'Зелень': '1 пуч.', 'Чеснок': '3 зуб.', 'Масло растительное': '3 ст. л.'}"
"Кексы ""Мятое января""","{'Мандарин': '1 шт', 'Шампанское': '100 мл', 'Сахар': '100 г', 'Яйцо куриное': '2 шт', 'Масло растительное': '80 мл', 'Разрыхлитель теста': '1 ч. л.', 'Мука пшеничная': '150 г'}"
Свинина с овощами в чесночно-сметанном соусе,"{'Свинина': '500 г', 'Тыква': '400 г', 'Кабачок': '2 шт', 'Яблоко': '2 шт', 'Сметана': '250 г', 'Укроп': '1 пуч.', 'Чеснок': '5 зуб.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Масло растительное': 'по вкусу', 'Сок лимонный': 'по вкусу'}"
"Кекс с вишней, яблоком и орехами","{'Мука пшеничная': '180 г', 'Сахар': '130 г', 'Разрыхлитель теста': '1.5 ч. л.', 'Яблоко': '1 шт', 'Яйцо куриное': '2 шт', 'Корица': '1.5 ч. л.', 'Соль': '0.5 ч. л.', 'Кефир': '3 ст. л.', 'Вишня': '1 стак.', 'Орехи грецкие': '0.5 стак.'}"
Постный грушевый пирог с овсяными хлопьями,"{'Мука пшеничная': '250 г', 'Хлопья овсяные': '120 г', 'Разрыхлитель теста': '1 ч. л.', 'Орехи': '50 г', 'Сахар коричневый': '150 г', 'Сок апельсиновый': '200 г', 'Цедра апельсина': '1 ст. л.', 'Мед': '50 г', 'Груша': '4 шт', 'Лепестки': '2 ст. л.'}"
Универсальное тесто для пиццы,"{'Мука пшеничная': '500 г', 'Вода': '300 мл', 'Сахар': '14 г', 'Дрожжи': '9 г', 'Соль': '7 г', 'Масло растительное': '35 мл'}"
"Кексы ""День-ночь""","{'Шоколад темный': '100 г', 'Шоколад белый': '100 г', 'Яйцо куриное': '4 шт', 'Сахар': '200 г', 'Масло сливочное': '200 г', 'Мука пшеничная': '200 г'}"
Спагетти в ярком овощном соусе,"{'Капуста белокочанная': '250 г', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Томаты в собственном соку': '100 г', 'Томатная паста': '3 ст. л.', 'Чеснок': '2 зуб.', 'Вода': '50 мл', 'Сметана': '1,5 ст. л.', 'Масло подсолнечное': '2 ст. л.', 'Спагетти': '150 г'}"
"Закуска ""Мини-пицца в конусе""","{'Тесто слоеное дрожжевое': '220 г', 'Колбаса': '100 г', 'Сыр твердый': '5 шт', 'Масло сливочное': '1 ст. л.', 'Приправа': '1 ч. л.', 'Кунжут': '1 ст. л.', 'Белок яичный': '1 шт', 'Сметана': '1 ст. л.', 'Мука пшеничная': '1 ст. л.', 'Кетчуп': 'по вкусу'}"
"Панировка ""Пряная""","{'Отруби': '70 г', 'Тмин': '0,5 ч. л.', 'Помидор': '1 ч. л.', 'Перец болгарский': '1 ч. л.', 'Куркума': '1 ч. л.'}"
Пирог бедняка,"{'Сок': '1 стак.', 'Сметана': '200 мл', 'Яйцо куриное': '2 шт', 'Сода': '1 ч. л.', 'Масло растительное': '2 ч. л.', 'Мука пшеничная': '2 стак.'}"
"Булочки ""А-ля бабуля""","{'Мука пшеничная': '340 г', 'Дрожжи': '20 г', 'Сахар': '4 ст. л.', 'Молоко': '125 мл', 'Яйцо куриное': '1 шт', 'Масло сливочное': '25 г', 'Соль': 'по вкусу', 'Сметана': '400 г', 'Мята': '5 шт'}"
"Горячее из бараньих субпродуктов ""Куырдак""","{'Печень баранья': '1 шт', 'Сердце': '1 шт', 'Легкое': '1 шт', 'Почки': '2 шт', 'Лук репчатый': '6 шт', 'Чеснок': '3 зуб.', 'Перец черный': 'по вкусу', 'Перец красный жгучий': 'по вкусу', 'Соль': 'по вкусу', 'Картофель': '5 кг', 'Лист лавровый': '2 шт'}"
"Творожные булочки с корицей ""Собачки""","{'Молоко': '100 мл', 'Дрожжи': '1.5 ч. л.', 'Яйцо куриное': '2 шт', 'Сахар': '60 г', 'Соль': '0.5 ч. л.', 'Творог': '100 г', 'Масло сливочное': '50 г', 'Мука пшеничная': '330 г', 'Корица': '2 ч. л.', 'Цукаты': '50 г'}"
Зефир с голубикой и шоколадным муссом,"{'Белок яичный': '2 шт', 'Голубика': '320 г', 'Желатин': '14 г', 'Сахар': '3 ст. л.', 'Сок лимонный': '1 ч. л.', 'Шоколад темный': '200 г', 'Вода': '180 мл'}"
"Закуска ""Цирковые мячи""","{'Яйцо перепелиное': '5 шт', 'Картофель': '3 шт', 'Майонез': '150 г', 'Чеснок': '1 зуб.', 'Укроп': '1 пуч.', 'Яйцо куриное': '1 шт', 'Морковь': '1 шт', 'Крабовые палочки': '3 шт'}"
Мясо с молодыми чесночными побегами,"{'Чеснок': '300 г', 'Мясо': '300 г', 'Соус': '250 г', 'Масло соевое': '50 г'}"
Морской гигант,"{'Креветки': '350 г', 'Масло оливковое': '5 ст. л.', 'Помидор': '3 ст. л.', 'Чеснок': '1 зуб.'}"
Пасха карамельная из творога,"{'Творог': '500 г', 'Масло сливочное': '100 г', 'Молоко сгущенное': '190 г', 'Орехи': '50 г', 'Цукаты': '50 г', 'Изюм': '50 г', 'Ванилин': '1 щепот.'}"
"Тесто ""Театральное""","{'Дрожжи': '30 г', 'Мука пшеничная': '17 ст. л.', 'Маргарин': '100 г', 'Вода': '200 мл', 'Соль': '1 ч. л.', 'Сахар': '2 ч. л.'}"
Творожное cолнышко с курагой,"{'Творог': '250 г', 'Курага': '150 г', 'Сахар': '7 ст. л.', 'Вода': '0,5 стак.', 'Яйцо куриное': '1 шт'}"
Идеальные дрожжевые блины,"{'Молоко': '300 мл', 'Вода': '200 мл', 'Мука пшеничная': '300 г', 'Сахар': '60 г', 'Яйцо куриное': '3 шт', 'Масло растительное': '70 мл', 'Дрожжи': '7 г', 'Соль': '1 ч. л.'}"
Утка-лапша с белыми грибами,"{'Утка': '1 шт', 'Лапша': '100 г', 'Грибы': '50 г', 'Морковь': '3 шт', 'Лук репчатый': '2 шт'}"
Быстрые малосольные огурцы на минералке,"{'Огурец': '900 г', 'Соль': '3 ст. л.', 'Укроп': '10 г', 'Петрушка': '10 г', 'Лист лавровый': '3 шт', 'Перец красный жгучий': '3 ломт.', 'Чеснок': '3 зуб.', 'Вода минеральная': '1 л'}"
Новогодние медовые пряники,"{'Мука пшеничная': '300 г', 'Сахар': '2 ст. л.', 'Соль': '1 щепот.', 'Корица': '0.5 ч. л.', 'Орех мускатный': '0.5 ч. л.', 'Сода': '1 ч. л.', 'Масло сливочное': '120 г', 'Мед': '100 г', 'Яйцо куриное': '1 шт', 'Желток яичный': '1 шт', 'Белок яичный': '1 шт', 'Сахарная пудра': '250 г', 'Сок лимонный': '2 ст. л.', 'Ванильный сахар': '1 пакет.'}"
Сметанники,"{'Мука пшеничная': '0,5 кг', 'Дрожжи': '40 г', 'Молоко': '200 мл', 'Сахар': '100 г', 'Соль': '0,5 ч. л.', 'Масло сливочное': '100 г', 'Сметана': '200 г', 'Творог': '150 г'}"
"Салат ""Оригинальный"" с фасолью и шпротами","{'Яйцо куриное': '5 шт', 'Шпроты': '1 бан.', 'Огурец': '2 шт', 'Фасоль': '1 бан.', 'Чеснок': '2 зуб.', 'Майонез': '20 г'}"
Сметанный десерт с клубникой и печеньем,"{'Сметана': '450 г', 'Сахарная пудра': '2 ст. л.', 'Загуститель для сливок': '1 пакет.', 'Печенье': '3 шт', 'Клубника': '200 г'}"
Летний салат со шпинатом и клубникой,"{'Шпинат': '200 г', 'Клубника': '56 шт', 'Огурец': '1 шт', 'Помидор': '1 шт', 'Кунжут': '1 ст. л.', 'Уксус': '2 ст. л.', 'Мед': '1 ч. л.', 'Масло оливковое': '3 ст. л.'}"
Макароны с томатным соусом и мидиями,"{'Макаронные изделия': '500 г', 'Лук репчатый': '1 шт', 'Мидии': '400 г', 'Томатная паста': '1 стак.', 'Зелень': '1 пуч.', 'Сыр твердый': '200 г'}"
Хрустящий баклажан с сюрпризом внутри,"{'Баклажан': '4 шт', 'Рис дикий': '0,5 стак.', 'Чеснок': '2 зуб.', 'Зелень': '10 г', 'Сыр голландский': '30 г', 'Яйцо куриное': '3 шт', 'Мука пшеничная': '3 ст. л.', 'Сухари панировочные': '150 г', 'Специи': '0.5 ч. л.'}"
Артала,"{'Мясо': '1800 г', 'Чеснок': 'по вкусу', 'Петрушка': '1 пуч.', 'Вода': '4 л', 'Соль': 'по вкусу'}"
"Рыбный пирог ""Дежурный""","{'Мука пшеничная': '1 стак.', 'Масло сливочное': '125 г', 'Сметана': '150 мл', 'Соль': 'по вкусу', 'Пангасиус': '400 г', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Перец черный': 'по вкусу', 'Рис': '0.5 стак.', 'Яйцо куриное': '2 шт', 'Сыр голландский': '150 г'}"
Салат «Планета»,"{'Окорочок куриный': '1 шт', 'Ветчина': '300 г', 'Огурец': '1 шт', 'Яйцо куриное': '4 шт', 'Сыр твердый': '100 г', 'Горошек зеленый': '1 стак.', 'Кукуруза': '1 стак.', 'Морковь': '1 стак.', 'Майонез': '1 стак.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
"Кетчуп ""Казацкий""","{'Сок томатный': '5 л', 'Сахар': '800 г', 'Уксус': '1 стак.', 'Соль': '5 ст. л.', 'Гвоздика': '1 пакет.', 'Корица': '1 ч. л.', 'Перец красный жгучий': '1 ч. л.', 'Перец черный': '1 ч. л.', 'Крахмал картофельный': '1 стак.', 'Вода': '125 мл'}"
"Куриная ""Коса-краса""","{'Филе куриное': '3 шт', 'Сливки': '300 мл', 'Специи': '1 горст.'}"
Португальские пирожные с заварным кремом,"{'Тесто слоеное': '300 г', 'Молоко': '1 стак.', 'Сахар': '5 ст. л.', 'Ваниль': '1 г', 'Сок лимонный': '2 ст. л.', 'Крахмал картофельный': '2 ст. л.', 'Желток яичный': '3 шт', 'Корица': '1 г', 'Сахарная пудра': '1 г'}"
"Салат ""Ярмарка""","{'Картофель': '2 шт', 'Свекла': '1 шт', 'Морковь': '1 шт', 'Капуста морская': '1 бан.', 'Сыр твердый': '50 г', 'Майонез': 'по вкусу'}"
Морковный хумус с цельнозерновыми хлебцами,"{'Мука пшеничная': '120 г', 'Хлопья овсяные': '120 г', 'Сахар коричневый': '1 ч. л.', 'Кунжут': '2 ст. л.', 'Масло подсолнечное': '2 ст. л.', 'Вода': '100 мл', 'Разрыхлитель теста': '1 ч. л.', 'Нут': '300 г', 'Морковь': '1 шт', 'Чеснок': '1 зуб.', 'Кориандр': '1 ч. л.', 'Сок лимонный': '2 ст. л.', 'Масло оливковое': '4 ст. л.', 'Соль': '1 щепот.', 'Перец черный': '1 щепот.'}"
"Закуска  ""Остров любви""","{'Батон': '1 шт', 'Яйцо куриное': '3 шт', 'Морковь': '2 шт', 'Рыба': '2 шт', 'Масло сливочное': '300 г'}"
"Грибной паштет ""Царский""","{'Грибы': '600 г', 'Сливки': '150 мл', 'Лук репчатый': '150 г', 'Орех мускатный': '1 ч. л.', 'Соль': 'по вкусу', 'Масло растительное': '2 ст. л.', 'Булочка': 'по вкусу', 'Кунжут': 'по вкусу'}"
Малосольные огурцы в контейнере,"{'Огурец': '5 шт', 'Соль': '1 ч. л.', 'Чеснок': '5 зуб.', 'Укроп': '1 пуч.'}"
Торт шоколадно-вишневый,"{'Масло сливочное': '150 г', 'Шоколад молочный': '150 г', 'Яйцо куриное': '4 шт', 'Сахар': '400 г', 'Мука пшеничная': '120 г', 'Разрыхлитель теста': '1,5 ч. л.', 'Вишня': '300', 'Сливки': '450 г', 'Сахарная пудра': '3 ст. л.'}"
Марокканские односторонние блины,"{'Вода': '700 мл', 'Мука пшеничная': '300 г', 'Крупа манная': '2 ст. л.', 'Дрожжи': '7 г', 'Соль': '1 ч. л.', 'Сахар': '1 ч. л.'}"
"Куриные ножки ""Балерина""","{'Голень куриная': '10  шт', 'Тесто дрожжевое': '500 г', 'Сыр твердый': '70 г'}"
Молочное суфле,"{'Ряженка': '500 г', 'Сметана': '3 ст. л.', 'Желатин': '1 ст. л.', 'Вода': '100 мл', 'Сахар': '120 г'}"
Торт без выпечки из трёх ингредиентов,"{'Печенье': '34 шт', 'Сметана': '500 г', 'Молоко сгущенное': '1 бан.'}"
"Шницель, как я его себе представляю","{'Говядина': '500 г', 'Булка': '1 шт', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Масло растительное': '50 г', 'Яйцо куриное': '1 шт'}"
"Салат с сельдью, огурцом и горошком","{'Сельдь': '180 г', 'Картофель': '200 г', 'Огурец': '200 г', 'Лук зеленый': '6 веточ.', 'Сыр плавленый': '200 г', 'Горошек зеленый': '150 г', 'Майонез': '3 ст. л.'}"
Сладкая рыба,"{'Рыба': '1 кг', 'Морковь': '1 кг', 'Лук репчатый': '1 кг', 'Майонез': '50 г', 'Сырок плавленый': '3 шт', 'Сахар': '2 ст. л.', 'Соль': '2 ч. л.'}"
Рис с жареным манго и куриной грудкой,"{'Филе куриное': '300 г', 'Рис': '1 стак.', 'Манго': '1 шт', 'Гранат': '1 шт', 'Карри': '1 ст. л.', 'Йогурт': '125 г', 'Соль': 'по вкусу', 'Масло сливочное': '25 г', 'Виноград': '1 горст.'}"
Сочный бисквит,"{'Яйцо куриное': '3 шт', 'Сахар': '150 г', 'Маргарин': '100 г', 'Разрыхлитель теста': '1 ч. л.', 'Мука пшеничная': '200 г'}"
Сливочные тянучки,"{'Сахар': '300 г', 'Мед': '50 г', 'Сливки': '250 мл', 'Масло сливочное': '50 г'}"
Лимонный чесночный суп с булгуром,"{'Булгур': '150 г', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Бульон': '6 стак.', 'Лимон': '0,5 шт', 'Чеснок': '3 зуб.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Базилик': '1 ч. л.', 'Масло оливковое': 'по вкусу'}"
Нежный фаршированный перец,"{'Филе куриное': '1 шт', 'Лук репчатый': '0,5 шт', 'Помидоры черри': '5 шт', 'Перец болгарский': '1 шт', 'Сыр творожный': '1 ст. л.', 'Перец душистый': 'по вкусу', 'Соль': 'по вкусу'}"
Творожные кексы с заварным кремом и джемом,"{'Масло сливочное': '100 г', 'Сахар': '140 г', 'Яйцо куриное': '4 шт', 'Молоко': '300 мл', 'Творог': '200 г', 'Разрыхлитель теста': '1,5 ч. л.', 'Мука пшеничная': '150 г', 'Джем': '100 г'}"
Кекс апельсиновый,"{'Масло сливочное': '200 г', 'Сахар': '325 г', 'Ванилин': '1 пакет.', 'Яйцо куриное': '5 шт', 'Мука пшеничная': '250 г', 'Крахмал картофельный': '125 г', 'Разрыхлитель теста': '1 пакет.', 'Цедра апельсина': '4 шт', 'Сок апельсиновый': '4 шт', 'Цедра лимона': '1 шт', 'Сахарная пудра': '200 г', 'Сок': '6 ст. л.'}"
Быстрое печенье на варёных желтках,"{'Желток яичный': '6 шт', 'Масло сливочное': '200 г', 'Сахар': '100 г', 'Ванилин': '1 пакет.', 'Разрыхлитель теста': '1 ч. л.', 'Сметана': '100 г', 'Цедра лимона': '1 ч. л.', 'Мука пшеничная': '350 г'}"
Пирог творожный с изюмом,"{'Мука пшеничная': '200 г', 'Сода': '0.5 ч. л.', 'Сахарная пудра': '80 г', 'Ванильный сахар': '1 пакет.', 'Масло сливочное': '200 г', 'Желток яичный': '1 шт', 'Творог': '750 г', 'Изюм': '80 г', 'Сахар': '150 г', 'Яйцо куриное': '3 шт', 'Крахмал': '50 г'}"
Необычный закусочный торт из тыквы,"{'Тыква': '600 г', 'Яйцо куриное': '2 шт', 'Мука пшеничная': '5 ст. л.', 'Соль': '1 ч. л.', 'Чеснок': '4 зуб.', 'Перец черный': 'по вкусу', 'Майонез': '100 г', 'Укроп': '1 пуч.'}"
Заварной торт с фруктами,"{'Вода': '400 мл', 'Масло сливочное': '100 г', 'Мука пшеничная': '1,5 стак.', 'Яйцо куриное': '5 шт', 'Соль': '1 щепот.', 'Яблоко': '500 г', 'Сахар': '200 г', 'Крахмал кукурузный': '1 ст. л.', 'Молоко': '200 мл', 'Фрукты': '300 г', 'Желе': '1 пач.'}"
Разноцветные фаршированные перцы с орехами,"{'Перец болгарский': '6 шт', 'Морковь': '3 шт', 'Лук репчатый': '1 шт', 'Арахис': '1 горст.', 'Орехи грецкие': '1 горст.', 'Изюм': '1 горст.', 'Говядина': '200 г', 'Рис': '0,5 стак.'}"
Овощное рагу с кабачком,"{'Кабачок': '900 г', 'Лук репчатый': '300 г', 'Морковь': '300 г', 'Перец сладкий': '1 шт', 'Помидор': '700 г', 'Соль': '0.5 ст. л.', 'Чеснок': '11 зуб.', 'Перец черный': '0.5 ч. л.', 'Масло растительное': '0.75 стак.'}"
Яблочное повидло с уксусом,"{'Яблоко': '3 кг', 'Сахар': '1,5 кг', 'Уксус': '90 мл'}"
Венгерская плетёнка,"{'Молоко': '200 мл', 'Сахар': '3 ст. л.', 'Соль': '1 ч. л.', 'Яйцо куриное': '1 шт', 'Масло сливочное': '50 г', 'Сметана': '100 г', 'Дрожжи': '20 г', 'Мука пшеничная': '600 г', 'Вода': '1 ст. л.'}"
Хамон с цукини на гриле,"{'Соль': '10 г', 'Масло оливковое': '30 г', 'Соевый соус': '70 г', 'Мед': '40 г', 'Лайм': '1 шт', 'Кабачок': '1 шт', 'Окорок': '200 г', 'Орехи кедровые': '40 г', 'Базилик': '7 г'}"
Рулет из ветчины с сыром и огурцами,"{'Ветчина': '9 ломт.', 'Сыр сливочный': '150 г', 'Огурец соленый': '100 г', 'Желатин': '1 ст. л.', 'Майонез': '1 ст. л.', 'Хрен': '1 ч. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
Пикантный свекольно-морковный салат,"{'Свекла': '1 шт', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Чеснок': '2 зуб.', 'Уксус': '2 ч. л.', 'Соевый соус': '2 ст. л.', 'Сахар': '0.5 ч. л.'}"
Фрикасе из курицы с шиитаке,"{'Филе куриное': '500 г', 'Грибы': 'по вкусу', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Пряности': 'по вкусу', 'Яйцо куриное': '2 шт', 'Масло топленое': '2 ст. л.', 'Лук репчатый': '1 шт', 'Сливки': '450 мл', 'Петрушка': 'по вкусу'}"
Рисово-кабачковая запеканка с мясным соусом,"{'Рис': '1 стак.', 'Кабачок': '1 шт', 'Яйцо куриное': '3 шт', 'Соль': 'по вкусу', 'Сметана': '1 ст. л.', 'Фарш мясной': '300 г', 'Лук репчатый': '1 шт', 'Соевый соус': '3 ст. л.', 'Кетчуп': '6 ст. л.'}"
Куриные крылья К ПИВУ в аэрогриле,"{'Крылья куриные': '1 кг', 'Майонез': '2 ст. л.', 'Горчица': '1 ст. л.', 'Специи': '1 ч. л.', 'Соль': '1 ч. л.', 'Пиво светлое': '200 мл'}"
Мороженое из ревеня и клубники,"{'Ревень': '4 шт', 'Клубника': '500 г', 'Сливки': '500 мл', 'Сахар': '200 г'}"
"Коктейль с калиной, укрепляющий иммунитет","{'Калина': '2 ст. л.', 'Вода': '500 мл', 'Мед': '2 ч. л.', 'Лимон': '2 дол.', 'Чай зеленый': '2 ч. л.'}"
Лосось в стиле глинтвейн,"{'Лосось': '4 шт', 'Лимон': '0,5 шт', 'Апельсин': '0,5 шт', 'Гвоздика': '4 шт', 'Корица': '1 щепот.', 'Вино красное полусухое': '150 мл', 'Соевый соус': '50 мл'}"
Селедочный торт на вафельных коржах,"{'Корж': '1 пач.', 'Сельдь': '1 шт', 'Шампиньоны': '300 г', 'Лук репчатый': '200 г', 'Морковь': '300 г', 'Майонез': '200 г', 'Сыр твердый': '100 г', 'Зелень': '1 пуч.'}"
"Колбаса домашняя ""Есенинская"" варено-копченая","{'Говядина': '1 кг', 'Свинина': '3 кг', 'Соль нитритная': '60 г', 'Соль': '20 г', 'Сахар': '1 ст. л.', 'Чеснок': '0,5 ст. л.', 'Орех мускатный': '1 ч. л.', 'Смесь специй': '1 ст. л.', 'Вода': '100 мл'}"
Гороховый суп с копчеными крылышками,"{'Горох': '1 стак.', 'Вода': '1,5 л', 'Картофель': '1 шт', 'Помидор': '0,5 шт', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Укроп': '1 пуч.', 'Петрушка': '1 пуч.', 'Крылья куриные': '6 шт', 'Свинина': '3 шт', 'Соль': '1 ч. л.', 'Чеснок': '2 зуб.', 'Перец черный': '1 щепот.'}"
Пудинг из курицы,"{'Филе куриное': '500 г', 'Лук репчатый': '1 шт', 'Яйцо куриное': '2 шт', 'Батон': '100 г', 'Молоко': '1 стак.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Специи': 'по вкусу'}"
Куриные котлеты на косточке,"{'Крылья куриные': '5 шт', 'Картофель': '5 шт', 'Сыр голландский': '100 г', 'Сухари панировочные': '6 ст. л.', 'Мука пшеничная': '4 ст. л.', 'Паприка сладкая': '1 ч. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Яйцо куриное': '2 шт', 'Молоко': '1 ст. л.', 'Масло растительное': '500 мл', 'Приправа': 'по вкусу', 'Кетчуп': '1 ст. л.'}"
Щи из свежей капусты с горошком,"{'Капуста белокочанная': '300 г', 'Бедро куриное': '2 шт', 'Горошек зеленый': '3 ст. л.', 'Лук репчатый': '2 шт', 'Морковь': '2 шт', 'Картофель': '2 шт', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Укроп': 'по вкусу', 'Кинза': 'по вкусу', 'Сельдерей корневой': '1 ломт.', 'Помидор': '2 шт', 'Лук зеленый': 'по вкусу'}"
Яблочный манник в мультиварке,"{'Яблоко': '1 кг', 'Творог': '400 г', 'Миндаль': '150 г', 'Сливки': '1 стак.', 'Масло сливочное': '150 г', 'Сахар': '1,5 стак.', 'Мука пшеничная': '1 стак.', 'Крупа манная': '1 стак.', 'Разрыхлитель теста': '1 ч. л.', 'Сок лимонный': '1 ст. л.', 'Корица': '1 ч. л.', 'Сахарная пудра': '1 ст. л.'}"
"Цыплята, маринованные в лимонно-масляном маринаде","{'Цыпленок': '2 шт', 'Масло оливковое': '150 мл', 'Сок лимонный': '100 мл', 'Тимьян': '2 ч. л.', 'Чеснок': '2 зуб.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
Капустный салат с клюквой,"{'Капуста белокочанная': '500 г', 'Апельсин': '1 шт', 'Горчица': '1 ч. л.', 'Клюква': '50 г', 'Уксус': '1 ст. л.', 'Мед': '1 ст. л.', 'Масло растительное': '4 ст. л.'}"
Домашний сыр Моцарелла без фермента,"{'Молоко': '3 л', 'Уксус': '8 ст. л.', 'Соль': '1 ст. л.'}"
Нежные печёночные оладьи,"{'Печень куриная': '400 г', 'Яйцо куриное': '2 шт', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Масло растительное': '100 мл', 'Мука цельнозерновая': '3 ст. л.', 'Клетчатка': '1 ст. л.', 'Сметана': '2 ст. л.', 'Соль': '1 ч. л.', 'Специи': 'по вкусу'}"
"Салат ""Надюшкин""","{'Колбаса': '250 г', 'Сыр твердый': '100 г', 'Шампиньоны': '1 бан.', 'Помидор': '3 шт', 'Чеснок': '2 зуб.', 'Зелень': 'по вкусу', 'Майонез': '4 ст. л.', 'Соль': 'по вкусу'}"
Каурма по-грузински,"{'Субпродукты': '1 кг', 'Масло сливочное': '100 г', 'Лук репчатый': '2 шт', 'Гранат': '1 шт', 'Вода': '500 мл', 'Перец черный': 'по вкусу', 'Соль': 'по вкусу'}"
Творожные ракушки,"{'Творог': '200 г', 'Масло сливочное': '200 г', 'Желток яичный': '3 шт', 'Разрыхлитель теста': '15 г', 'Мука пшеничная': '2 стак.', 'Сахар': '170 г', 'Белок яичный': '3 шт', 'Сок лимонный': '1 бан.', 'Сахарная пудра': '50 г'}"
Яблочный джем в мультиварке,"{'Яблоко': '1 кг', 'Сахар': '700 г', 'Кислота лимонная': '1 ч. л.', 'Смородина черная': '100 г'}"
